topo_variable,trait,n_pixels,pearson_r,pearson_p,spearman_r,spearman_p,r_squared,topo_mean,topo_std,topo_min,topo_max,trait_mean,trait_std
Elevation,Chlorophyll,107250,0.39133104136746166,0.0,0.3925397677219018,0.0,0.153139983937742,231.13987236636828,118.7726579225622,0.0,526.3541228253704,33.81118,19.030544
Elevation,LMA,107250,0.16909368777539524,0.0,0.28838955280062095,0.0,0.02859267524548285,231.13987236636828,118.7726579225622,0.0,526.3541228253704,63.043926,69.4543
Elevation,LWC,107250,0.10619279839953624,1.7568630888520975e-266,0.2763654795938149,0.0,0.011276910431924548,231.13987236636828,118.7726579225622,0.0,526.3541228253704,0.004180015,0.0050934907
Slope,Chlorophyll,107192,0.3401564906490301,0.0,0.3250509859768516,0.0,0.1157064381306637,25.647295113588523,16.727813108240305,0.0,79.33729827063034,33.810368,19.02986
Slope,LMA,107192,0.23308513074643872,0.0,0.2737783248410886,0.0,0.05432867817508443,25.647295113588523,16.727813108240305,0.0,79.33729827063034,63.024586,69.40438
Slope,LWC,107192,0.1832463263091525,0.0,0.25869932868379225,0.0,0.03357921610580039,25.647295113588523,16.727813108240305,0.0,79.33729827063034,0.004178896,0.0050902218
Aspect,Chlorophyll,92411,0.012504832602601573,0.0001438439481937136,0.017404157337588256,1.2161621320471492e-07,0.00015637083841908724,184.2632510187448,83.04123753104685,0.0,356.2089775722845,35.01436,19.085869
Aspect,LMA,92411,0.017742625843063485,6.892005806592364e-08,0.02016390166088621,8.776836537939578e-10,0.00031480077180694426,184.2632510187448,83.04123753104685,0.0,356.2089775722845,64.74191,67.34087
Aspect,LWC,92411,0.025148510274728385,2.072534676553516e-14,0.029839291975283545,1.1600052248960468e-19,0.0006324475690381191,184.2632510187448,83.04123753104685,0.0,356.2089775722845,0.0042510405,0.00486674
